iter	Passed	Remaining
464	746	858
465	747	856
466	748	854
467	749	851
468	750	849
469	751	847
470	752	844
471	753	842
472	754	840
473	755	838
474	756	836
475	758	834
476	759	832
477	760	830
478	761	828
479	762	826
480	764	824
481	765	822
482	766	820
483	767	817
484	768	815
485	769	813
486	770	811
487	771	809
488	772	807
489	774	806
490	775	804
491	777	802
492	778	800
493	779	798
494	780	795
495	780	793
496	782	791
497	783	789
498	784	788
499	785	785
500	787	784
501	789	782
502	790	781
503	792	779
504	793	777
505	794	775
506	795	773
507	796	771
508	797	769
509	798	767
510	799	764
511	800	762
512	801	760
513	803	759
514	804	757
515	805	755
516	806	753
517	807	750
518	808	748
519	809	747
520	810	745
521	811	743
522	812	741
523	813	738
524	814	737
525	815	735
526	817	733
527	818	731
528	819	729
529	820	727
530	822	726
531	823	724
532	824	722
533	825	720
534	826	718
535	827	716
536	828	714
537	829	712
538	830	710
539	832	709
540	833	707
541	834	705
542	836	703
543	837	701
544	838	699
545	838	697
546	839	695
547	840	693
548	841	691
549	843	689
550	844	687
551	845	686
552	846	684
553	848	682
554	849	680
555	850	679
556	851	677
557	853	675
558	854	673
559	855	671
560	856	670
561	857	668
562	858	666
563	859	664
564	860	662
565	861	660
566	863	659
567	864	657
568	865	655
569	866	653
570	867	651
571	868	649
572	869	648
573	870	646
574	871	644
575	873	642
576	874	641
577	876	639
578	877	638
579	878	636
580	879	634
581	881	632
582	882	630
583	883	629
584	885	628
585	887	626
586	888	624
587	889	623
588	890	621
589	892	620
590	893	618
591	894	616
592	895	614
593	896	612
594	898	611
595	898	609
596	900	607
597	901	605
598	901	603
599	902	601
600	904	600
601	905	598
602	906	597
603	907	595
604	908	593
605	910	591
606	911	589
607	912	588
608	913	586
609	914	584
610	915	582
611	916	580
612	917	578
613	918	577
614	919	575
615	920	574
616	921	572
617	923	570
618	924	568
619	925	567
620	926	565
621	927	563
622	928	561
623	929	559
624	930	558
625	931	556
626	932	554
627	934	553
628	935	551
629	936	550
630	937	548
631	938	546
632	940	544
633	941	543
634	942	541
635	943	539
636	945	538
637	946	536
638	947	535
639	949	533
640	950	532
641	951	530
642	952	529
643	953	527
644	954	525
645	955	523
646	956	522
647	957	520
648	958	518
649	959	516
650	961	515
651	962	513
652	963	511
653	964	510
654	966	508
655	967	507
656	968	505
657	969	503
658	970	502
659	971	500
660	973	499
661	974	497
662	975	495
663	976	494
664	978	493
665	980	491
666	981	489
667	982	488
668	983	486
669	984	484
670	985	483
671	986	481
672	987	479
673	988	478
674	989	476
675	990	474
676	991	472
677	992	471
678	994	470
679	995	468
680	996	467
681	998	465
682	999	463
683	1001	462
684	1002	461
685	1003	459
686	1005	457
687	1006	456
688	1007	454
689	1008	453
690	1010	451
691	1011	450
692	1012	448
693	1014	447
694	1015	445
695	1016	443
696	1017	442
697	1018	440
698	1019	438
699	1020	437
700	1021	435
701	1023	434
702	1024	432
703	1026	431
704	1027	429
705	1029	428
706	1030	426
707	1031	425
708	1032	423
709	1033	422
710	1034	420
711	1037	419
712	1038	418
713	1040	416
714	1041	415
715	1042	413
716	1043	411
717	1044	410
718	1045	408
719	1046	407
720	1047	405
721	1048	403
722	1049	402
723	1050	400
724	1052	399
725	1053	397
726	1055	396
727	1056	394
728	1057	393
729	1058	391
730	1060	390
731	1063	389
732	1065	388
733	1066	386
734	1068	385
735	1069	383
736	1070	382
737	1072	380
738	1073	379
739	1074	377
740	1075	376
741	1076	374
742	1078	373
743	1080	371
744	1082	370
745	1083	368
746	1084	367
747	1085	365
748	1087	364
749	1088	362
750	1091	361
751	1092	360
752	1093	358
753	1094	357
754	1096	355
755	1098	354
756	1099	352
757	1100	351
758	1101	349
759	1102	348
760	1103	346
761	1104	344
762	1105	343
763	1106	341
764	1107	340
765	1108	338
766	1109	337
767	1111	335
768	1112	334
769	1113	332
770	1114	331
771	1115	329
772	1116	328
773	1118	326
774	1119	324
775	1120	323
776	1121	321
777	1122	320
778	1123	318
779	1125	317
780	1126	315
781	1127	314
782	1128	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1133	305
788	1134	303
789	1135	301
790	1136	300
791	1137	298
792	1138	297
793	1139	295
794	1140	294
795	1142	292
796	1143	291
797	1144	289
798	1145	288
799	1147	286
800	1148	285
801	1149	283
802	1150	282
803	1151	280
804	1153	279
805	1154	277
806	1155	276
807	1157	274
808	1159	273
809	1160	272
810	1161	270
811	1162	269
812	1163	267
813	1164	266
814	1165	264
815	1166	263
816	1167	261
817	1169	260
818	1170	258
819	1171	257
820	1172	255
821	1173	254
822	1174	252
823	1176	251
824	1177	249
825	1178	248
826	1179	246
827	1180	245
828	1181	243
829	1182	242
830	1183	240
831	1184	239
832	1186	237
833	1187	236
834	1189	234
835	1190	233
836	1190	231
837	1191	230
838	1193	228
839	1193	227
840	1195	225
841	1195	224
842	1197	222
843	1198	221
844	1199	219
845	1201	218
846	1202	217
847	1203	215
848	1204	214
849	1205	212
850	1206	211
851	1207	209
852	1208	208
853	1209	206
854	1211	205
855	1212	203
856	1213	202
857	1214	200
858	1216	199
859	1217	198
860	1218	196
861	1219	195
862	1220	193
863	1221	192
864	1222	190
865	1223	189
866	1224	187
867	1225	186
868	1226	184
869	1227	183
870	1228	181
871	1228	180
872	1230	179
873	1231	177
874	1233	176
875	1234	174
876	1235	173
877	1236	171
878	1237	170
879	1238	168
880	1239	167
881	1240	165
882	1242	164
883	1243	163
884	1245	161
885	1246	160
886	1247	158
887	1249	157
888	1250	156
889	1251	154
890	1252	153
891	1253	151
892	1254	150
893	1255	148
894	1256	147
895	1257	145
896	1260	144
897	1262	143
898	1263	141
899	1264	140
900	1265	139
901	1267	137
902	1268	136
903	1270	134
904	1271	133
905	1272	131
906	1273	130
907	1275	129
908	1276	127
909	1278	126
910	1279	124
911	1280	123
912	1281	122
913	1282	120
914	1283	119
915	1284	117
916	1285	116
917	1285	114
918	1286	113
919	1288	112
920	1289	110
921	1290	109
922	1291	107
923	1292	106
924	1293	104
925	1294	103
926	1296	102
927	1297	100
928	1298	99
929	1299	97
930	1300	96
931	1302	95
932	1304	93
933	1306	92
934	1308	90
935	1309	89
936	1310	88
937	1311	86
938	1312	85
939	1313	83
940	1314	82
941	1315	81
942	1316	79
943	1318	78
944	1320	76
945	1321	75
946	1323	74
947	1324	72
948	1325	71
949	1326	69
950	1327	68
951	1328	66
952	1329	65
953	1330	64
954	1331	62
955	1333	61
956	1334	59
957	1335	58
958	1337	57
959	1338	55
960	1339	54
961	1340	52
962	1341	51
963	1342	50
964	1343	48
965	1344	47
966	1345	45
967	1346	44
968	1347	43
969	1350	41
970	1351	40
971	1352	38
972	1354	37
973	1355	36
974	1356	34
975	1357	33
976	1359	31
977	1360	30
978	1361	29
979	1363	27
980	1364	26
981	1366	25
982	1367	23
983	1368	22
984	1369	20
985	1370	19
986	1371	18
987	1372	16
988	1373	15
989	1375	13
990	1375	12
991	1377	11
992	1378	9
993	1380	8
994	1381	6
995	1382	5
996	1383	4
997	1384	2
998	1385	1
999	1386	0
